Data Source in SDW: null,
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2017-11-23,1.1848
2017-11-22,1.1749
2017-11-21,1.1718
2017-11-20,1.1781
2017-11-17,1.1795
2017-11-16,1.1771
2017-11-15,1.1840
2017-11-14,1.1745
2017-11-13,1.1656
2017-11-10,1.1654
2017-11-09,1.1630
2017-11-08,1.1590
